# Vesper carve verdict, first pass
#
# Produced from a converged ExoPlaSim climatology: T21,
# 0.945 S-Earth, vegetated land surface, glaciers enabled,
# 281.07 K, climatology baseline_regular_climatology.nc.
# Terrain 2004672995403ead, basin catalogue unchanged.
#
# A basin overflows when more water arrives than its lake surface can evaporate,
#     Q = runoff * (catchment - area_at_spill) - (E - P) * area_at_spill  >  0
# and retain is then what that Q can cut against how deep the basin is,
#     retain = 1 - 963.0 * erodibility * slope^1 * Q^0.5 / depth_at_spill
# in metres, where slope is the outlet channel's own gradient relative to the
# population's, and the coefficient is solved against the density of Earth's own
# standing through-flowing impounded basins rather than declared. Open-water
# evaporation is the Penman combination equation with water's albedo and
# roughness, validated against the model over ocean cells to within
# 15.0%.
# Catchment runoff is precipitation minus evaporation over the catchment; see the sidecar.
#
#   retain 1.0   4597 basins  closed: the lake surface evaporates all that arrives
#   retain 0<r<1   60 basins  a notch: the outlet is cut, but not to the floor
#   retain 0.0   4115 basins  carved
#                               0 of them carried forward, 4115 decided here
#
#   33 of the entries above hold no water at spill at all: the
# drainage conditioning took their rim down to their floor, and the catalogue
# publishes them as preserved anyway. 25 of them carve here, on the 1 m
# depth guard rather than on a water balance. notes/audits/basin-catalogue-floor.md.
#
# The counts above are of the whole 8772-entry catalogue. This pass could
# only decide the 8772 basins the current build still has; the rest were
# carved by an earlier pass and are held at 0 to keep the loop monotone.
#
# THE BASIS. retain here is a fraction of the depression's NATURAL spill depth,
# in the generator's dimensionless elevation parameter -- the depth
# buildBasinProtection spends (1 - retain) against, and the only depth that
# exists when protection is built. The incision above is a LENGTH in metres
# against the FINISHED depression, so it is converted before it is written:
#     retain = 1 - (1 - retain_finished) * retainedFraction
# using this build's own natural-to-final ratio as the estimate of the next
# generation's. Both endpoints pass through exactly, and the sidecar carries
# the ratio's population spread as the bracket on that estimate.
#   36 entries had no ratio to convert with and are all at retain 0.
#
# Carved basins are listed explicitly at retain 0, so this file is the
# complete verdict.
#
# id                                    retain

orogen-basin-r1vxqc-pwgfc8             1.0000
orogen-basin-r4g53f-oeej8              1.0000
orogen-basin-r3qrpu-1l04tvq            1.0000
orogen-basin-r51w8t-1eij9zd            1.0000
orogen-basin-r3iaxv-ypb4po             1.0000
orogen-basin-r4x307-cpx7zw             1.0000
orogen-basin-r2h52y-7d5rp2             1.0000
orogen-basin-r52sa0-faxnk8             1.0000
orogen-basin-r2izxq-zrq4wr             1.0000
orogen-basin-r1yn9c-vwq3k1             1.0000
orogen-basin-r46wo-42bthc              1.0000
orogen-basin-r1vjed-l12f6u             1.0000
orogen-basin-r179xn-hps20c             1.0000
orogen-basin-r8916-c62jns              1.0000
orogen-basin-r26smp-g6mxtt             1.0000
orogen-basin-r52x6r-4auvki             1.0000
orogen-basin-r2u415-jkyfwa             1.0000
orogen-basin-r4s0zh-l0b99r             1.0000
orogen-basin-r4401x-1av6nb             1.0000
orogen-basin-r4domq-1hel0ez            1.0000
orogen-basin-r2xwn4-v8rjqj             1.0000
orogen-basin-r4yfbt-1ufdah0            1.0000
orogen-basin-r1nz7a-kx1p84             1.0000
orogen-basin-r2lmlw-tu8ihs             1.0000
orogen-basin-r4kotu-j77mmq             1.0000
orogen-basin-r3cmgz-5ud3dm             1.0000
orogen-basin-r3msf5-1lj4p7s            1.0000
orogen-basin-r3r7hd-1spsqip            1.0000
orogen-basin-r5avb1-388aci             1.0000
orogen-basin-rzs1g-1kg23xg             1.0000
orogen-basin-r2r6b7-o30dsz             1.0000
orogen-basin-rljw4-1gxtzbu             1.0000
orogen-basin-rwhxx-xhsn3               1.0000
orogen-basin-r24qcr-14lntfp            1.0000
orogen-basin-r1dozo-atvtd9             1.0000
orogen-basin-r4rush-cz6ghl             1.0000
orogen-basin-r2mcin-1mumhfr            1.0000
orogen-basin-r2wl2h-qo6xfv             1.0000
orogen-basin-rwy9l-7edn7x              1.0000
orogen-basin-r2mgnq-170hvbe            1.0000
orogen-basin-r2wezl-2p1rlc             1.0000
orogen-basin-r5kjx-z8rciv              1.0000
orogen-basin-r2ugkd-lo4oep             1.0000
orogen-basin-r5hhyj-hqky6b             1.0000
orogen-basin-r5jzqd-o8vwz2             1.0000
orogen-basin-r44k98-81xorh             1.0000
orogen-basin-r3421s-yqk3o0             1.0000
orogen-basin-r4wf9f-1wg2bcv            1.0000
orogen-basin-r5851z-1bjyfaa            1.0000
orogen-basin-ry0gk-34112w              1.0000
orogen-basin-r2r0dt-kwoyu9             1.0000
orogen-basin-r4pw31-wr8ksb             1.0000
orogen-basin-r5xm5-1yhcuqp             1.0000
orogen-basin-r4kexw-oggqmh             1.0000
orogen-basin-r18gui-18yyhkr            1.0000
orogen-basin-r27ncr-1iwrj1k            1.0000
orogen-basin-rwzbm-1jrepom             1.0000
orogen-basin-r24s3w-tl6umc             1.0000
orogen-basin-r7z7h-hwdoh5              1.0000
orogen-basin-r4xl9y-ydkpx6             1.0000
orogen-basin-rpy96-7osos4              1.0000
orogen-basin-r37vde-1me3nx6            1.0000
orogen-basin-r56mn8-i979i8             1.0000
orogen-basin-r4qvsd-k3wq15             1.0000
orogen-basin-r2s89x-kyza3t             1.0000
orogen-basin-rlxf6-14613m7             1.0000
orogen-basin-rbev1-m7wsjp              1.0000
orogen-basin-r4kh77-76hnkl             1.0000
orogen-basin-r3kavv-1qpj97z            1.0000
orogen-basin-r1g2pj-1prnbcp            1.0000
orogen-basin-r2tom1-cx87f2             1.0000
orogen-basin-r32fnf-cdb2wk             1.0000
orogen-basin-r5o01v-169h8z2            1.0000
orogen-basin-r3cphd-19in0q1            1.0000
orogen-basin-r1w7co-10a8ye7            1.0000
orogen-basin-r4mdgh-19ic7eg            1.0000
orogen-basin-r1satt-1csmc31            1.0000
orogen-basin-rvmjt-8aie7e              1.0000
orogen-basin-rmpzh-gi15j8              1.0000
orogen-basin-r2rsrp-1w2pl5h            1.0000
orogen-basin-r4er1h-w9pj5q             1.0000
orogen-basin-r52rgo-ixevrm             1.0000
orogen-basin-r4zl6i-11bdwff            1.0000
orogen-basin-r2uqx6-8gm1lg             1.0000
orogen-basin-r2vzx7-d9e73a             1.0000
orogen-basin-r3ggca-1faux2z            1.0000
orogen-basin-r2q0xu-smr1rb             1.0000
orogen-basin-r4weke-1l2gci5            1.0000
orogen-basin-r3vjfk-1p870a             1.0000
orogen-basin-r4ml5u-1n4wnin            1.0000
orogen-basin-r35d64-1okzin4            1.0000
orogen-basin-r2nqa9-1pcvtku            1.0000
orogen-basin-r4ch87-12bw28o            1.0000
orogen-basin-r22cou-1nptqpp            1.0000
orogen-basin-rgj6l-1dgbcua             1.0000
orogen-basin-rquo3-10lzl7b             1.0000
orogen-basin-r701q-t4vsz2              1.0000
orogen-basin-r25teh-1uiirib            1.0000
orogen-basin-r17i4e-ciy20l             1.0000
orogen-basin-r4g2sl-164rcrb            1.0000
orogen-basin-r3dw64-wbrzlb             1.0000
orogen-basin-r2d54c-5gpymo             1.0000
orogen-basin-rm6un-vo3vva              1.0000
orogen-basin-rmrri-1g2a4rb             1.0000
orogen-basin-r5fcl3-1906ft8            1.0000
orogen-basin-r1yow6-1jj3z7b            1.0000
orogen-basin-r2h7y8-1dav7rq            1.0000
orogen-basin-r3cyze-tfngbv             1.0000
orogen-basin-r2im80-1xm3075            1.0000
orogen-basin-r3kh0u-2jzd5k             1.0000
orogen-basin-r4dfks-1aaar55            1.0000
orogen-basin-r2tef3-1le94t2            1.0000
orogen-basin-r24q9v-gi8gus             1.0000
orogen-basin-r23qqp-1jp1ypu            1.0000
orogen-basin-r5obs2-ucwqcr             1.0000
orogen-basin-r31y7p-1u6b3rg            1.0000
orogen-basin-r5iko5-otjds3             1.0000
orogen-basin-r3te3c-1qxx2wq            1.0000
orogen-basin-r2kdrh-rnl6wo             1.0000
orogen-basin-r2xqzo-2xqgl0             1.0000
orogen-basin-r4pyhg-3f87ig             1.0000
orogen-basin-r52cbo-1ium4wh            1.0000
orogen-basin-r5cwdu-cqva07             1.0000
orogen-basin-r3sye0-t8p4ba             1.0000
orogen-basin-r3xifq-1ytxwsx            1.0000
orogen-basin-r2tzvz-1md0poz            1.0000
orogen-basin-r12twn-zpk83v             1.0000
orogen-basin-r45j5m-1fygja0            1.0000
orogen-basin-r5dwbz-hxqvos             1.0000
orogen-basin-r55ccm-yqwhb0             1.0000
orogen-basin-r5emt3-ikz4s9             1.0000
orogen-basin-r2ty8g-v6rfbq             1.0000
orogen-basin-r55jb-lnuj61              1.0000
orogen-basin-r5gvz9-1hueeyu            1.0000
orogen-basin-r2h604-v7zu8q             1.0000
orogen-basin-r24q3g-1y58wqc            1.0000
orogen-basin-r5944m-r708d7             1.0000
orogen-basin-r27aiy-1jb7rx6            1.0000
orogen-basin-r2kq4q-1fwj0d1            1.0000
orogen-basin-r2mlah-97d6ok             1.0000
orogen-basin-r4m5vd-lj2tbo             1.0000
orogen-basin-r4cg9-7co6q7              1.0000
orogen-basin-r4dcu3-ec71yq             1.0000
orogen-basin-r2mfcs-w8tlcb             1.0000
orogen-basin-r5qaya-1ntsqa8            1.0000
orogen-basin-roiwh-xjj1b7              1.0000
orogen-basin-rstw5-1f17rl              1.0000
orogen-basin-r5rl3n-1pxxxf7            1.0000
orogen-basin-r525n4-1g8u3fd            1.0000
orogen-basin-r3ccos-1prg7co            1.0000
orogen-basin-r24491-1yp30oz            1.0000
orogen-basin-r3juy4-gpqffv             1.0000
orogen-basin-r37en8-yr1com             1.0000
orogen-basin-r20w0u-rqus7a             1.0000
orogen-basin-r4rvwq-14j1nyi            1.0000
orogen-basin-r16pk5-1bz07g             1.0000
orogen-basin-r2rdqb-1tacal             1.0000
orogen-basin-r2qeso-11mjahi            1.0000
orogen-basin-r3l9sg-hz473g             1.0000
orogen-basin-r92di-1bcb7i1             1.0000
orogen-basin-r4v0on-1x2qnh4            1.0000
orogen-basin-r1yys8-5nd0ms             1.0000
orogen-basin-r527a8-153ykov            1.0000
orogen-basin-r4vruu-10gv2l1            1.0000
orogen-basin-r1h1xj-t7c8q6             1.0000
orogen-basin-rsg5n-wibcyf              1.0000
orogen-basin-r5hg9i-1vcol22            1.0000
orogen-basin-r5khkb-us7boo             1.0000
orogen-basin-r4q0zh-uvvjpw             1.0000
orogen-basin-r1nmqq-1ilsuqv            1.0000
orogen-basin-r344tw-tx82               1.0000
orogen-basin-r5ngn-r9203y              1.0000
orogen-basin-r3n0rk-10f4juv            1.0000
orogen-basin-r467k5-1e9t4po            1.0000
orogen-basin-r162cc-1ulgcpv            1.0000
orogen-basin-r57whi-cqyo6m             1.0000
orogen-basin-r23ulb-ciore4             1.0000
orogen-basin-rzyzm-1hu3cej             1.0000
orogen-basin-r26bku-1pw43p0            1.0000
orogen-basin-r4vu0q-u880ch             1.0000
orogen-basin-r39f6q-o77vgp             1.0000
orogen-basin-r2w38-1b8mdv5             1.0000
orogen-basin-r6mxj-1btfldt             1.0000
orogen-basin-r7nr2-wdaanv              1.0000
orogen-basin-r5pmih-n0s0xj             1.0000
orogen-basin-r2up0i-ukuj3h             1.0000
orogen-basin-r4zsi7-1rxe94v            1.0000
orogen-basin-r5oag6-m0trad             1.0000
orogen-basin-r4jx6-pfxv0k              1.0000
orogen-basin-r88ou-z6v0z5              1.0000
orogen-basin-r11s6c-1jaqvhp            1.0000
orogen-basin-raouu-4wp0q6              1.0000
orogen-basin-r15efb-1ifmecp            1.0000
orogen-basin-r4hgv7-31z18s             1.0000
orogen-basin-r3kl3g-vs778n             1.0000
orogen-basin-r5lmfp-1s0zpcx            1.0000
orogen-basin-r2si1e-xttwf1             1.0000
orogen-basin-r2jk76-1521354            1.0000
orogen-basin-r3gkj-khh0l6              1.0000
orogen-basin-r4cb86-1si6yyd            1.0000
orogen-basin-r4x01d-onyife             1.0000
orogen-basin-r120mk-11fktng            1.0000
orogen-basin-r4wgp2-bs5lds             1.0000
orogen-basin-r31c0t-9uzazm             1.0000
orogen-basin-r4dlkp-knixn0             1.0000
orogen-basin-r8ykf-196ayl9             1.0000
orogen-basin-r37pe3-13ajhkh            1.0000
orogen-basin-r41wkj-5a32fz             1.0000
orogen-basin-r5tb59-30qrbr             1.0000
orogen-basin-r4y95f-l20eo2             1.0000
orogen-basin-r48dxy-k3crg0             1.0000
orogen-basin-r6c5t-1bgigfm             1.0000
orogen-basin-r49j3r-3epa29             1.0000
orogen-basin-r2vtj4-1yyuzdy            1.0000
orogen-basin-r3gki5-xmch88             1.0000
orogen-basin-r181l8-jy0s6y             1.0000
orogen-basin-r3wrp-1jis68w             1.0000
orogen-basin-r3uvun-1e6sd4v            1.0000
orogen-basin-r2im20-bh8zkp             1.0000
orogen-basin-r2lw1b-1iwkwnw            1.0000
orogen-basin-r3j6p0-1pmcip6            1.0000
orogen-basin-r2vrks-1uezx1             1.0000
orogen-basin-ri9cv-1vti45k             1.0000
orogen-basin-r3tjhk-1pgs6r8            1.0000
orogen-basin-r2vtnh-1j8bfnl            1.0000
orogen-basin-r4nrq6-c4w7tz             1.0000
orogen-basin-r537m8-z8b020             1.0000
orogen-basin-r4b5sd-ciu3bd             1.0000
orogen-basin-r4npck-664ehz             1.0000
orogen-basin-r2t81c-bsbwx5             1.0000
orogen-basin-rq09s-bguqmo              1.0000
orogen-basin-r2771r-1i7bl4x            1.0000
orogen-basin-r2u2el-1clyl9o            1.0000
orogen-basin-rzys7-1e8rlqy             1.0000
orogen-basin-r39s7a-1kwyrk             1.0000
orogen-basin-rwewr-bryjrt              1.0000
orogen-basin-r3crl-1gl3jp0             1.0000
orogen-basin-r3uvip-13mk80b            1.0000
orogen-basin-r128n1-3ui69a             1.0000
orogen-basin-r5sfqs-5bc8wl             1.0000
orogen-basin-r4ljs4-19js583            1.0000
orogen-basin-r3re58-jlhhs8             1.0000
orogen-basin-r15k0c-8b9b3              1.0000
orogen-basin-r2nlhu-1c2aqvb            1.0000
orogen-basin-r9vi7-4f4epn              1.0000
orogen-basin-r41wuy-1opja3j            1.0000
orogen-basin-r544gm-1ab3ot             1.0000
orogen-basin-r557al-1b0695j            1.0000
orogen-basin-r3c42r-1atga6r            1.0000
orogen-basin-r2hix0-1f9sdcs            1.0000
orogen-basin-r5dsej-g9bplb             1.0000
orogen-basin-r8d6j-10h3nie             1.0000
orogen-basin-r4i1fx-aqhtug             1.0000
orogen-basin-r1hzst-2vztbs             1.0000
orogen-basin-r311l2-1n25ud3            1.0000
orogen-basin-r3tcvc-1kutpgx            1.0000
orogen-basin-r38llx-bvtr7j             1.0000
orogen-basin-r4wbe3-10ixhs3            1.0000
orogen-basin-rs446-2f7jm4              1.0000
orogen-basin-r3y4s8-u0pupj             1.0000
orogen-basin-rx6zp-x1zabh              1.0000
orogen-basin-r2na1k-1u4b0sv            1.0000
orogen-basin-r4afjq-vxgtsq             1.0000
orogen-basin-r4jr71-1cnxw3h            1.0000
orogen-basin-r1uvni-1roc1o3            1.0000
orogen-basin-r1zpl8-1mgqccs            1.0000
orogen-basin-r4d8v-1q28xb8             1.0000
orogen-basin-r4n134-10hyumf            1.0000
orogen-basin-r3r8ks-12kof31            1.0000
orogen-basin-r3idtv-s99oq1             1.0000
orogen-basin-r3931y-1tgb6ry            1.0000
orogen-basin-r4n1eu-l5hk4n             1.0000
orogen-basin-r2ahij-1v1raeg            1.0000
orogen-basin-r4ufxx-19nj04             1.0000
orogen-basin-r24it-102jr0q             1.0000
orogen-basin-rsj9g-10t3k7v             1.0000
orogen-basin-r4jakc-12dh213            1.0000
orogen-basin-r4g0n3-1fln29v            1.0000
orogen-basin-r9d34-17m4bur             1.0000
orogen-basin-r3d4q-1i17v9k             1.0000
orogen-basin-r4xrss-1nguc83            1.0000
orogen-basin-r3k5f0-gn6dhc             1.0000
orogen-basin-r5hmn-5mwzjr              1.0000
orogen-basin-r4oyjo-wac39d             1.0000
orogen-basin-r46hvm-18wol6z            1.0000
orogen-basin-r57rj5-jy2zip             1.0000
orogen-basin-r34k5a-1mlm27h            1.0000
orogen-basin-r1zjx8-1sc3mue            1.0000
orogen-basin-r1uejz-10bwtt0            1.0000
orogen-basin-r59e2e-1xfjxd9            1.0000
orogen-basin-r2bzvp-m61gnw             1.0000
orogen-basin-r1hc4j-6ce2j2             1.0000
orogen-basin-r4pqna-5jeejb             1.0000
orogen-basin-r51c3o-1qd0ai7            1.0000
orogen-basin-r3uv9g-1fg7byj            1.0000
orogen-basin-r3jf1e-hverg8             1.0000
orogen-basin-r5fvii-u26036             1.0000
orogen-basin-r295m3-t4ypi3             1.0000
orogen-basin-r10f06-1rcc3k9            1.0000
orogen-basin-r1rzja-nfew4e             1.0000
orogen-basin-r3rtil-x9off1             1.0000
orogen-basin-r2woc5-195lvgw            1.0000
orogen-basin-r21a6b-1b8pvup            1.0000
orogen-basin-r20zjg-1g6ku0k            1.0000
orogen-basin-r709p-1ijihgv             1.0000
orogen-basin-r311g1-1frpblf            1.0000
orogen-basin-r4pe6q-1e8kzou            1.0000
orogen-basin-r5froa-fjrxo4             1.0000
orogen-basin-r38tij-1lwa93o            1.0000
orogen-basin-r6srk-1o6mtt5             1.0000
orogen-basin-r2u4ok-evf24w             1.0000
orogen-basin-r4xujs-10kzjhe            1.0000
orogen-basin-r313h6-uka1yw             1.0000
orogen-basin-r4rgz8-2hcaoy             1.0000
orogen-basin-r3io6t-42cvon             1.0000
orogen-basin-r3zfnu-1ug1w88            1.0000
orogen-basin-rz3wx-z32jlo              1.0000
orogen-basin-r24hca-qe65m8             1.0000
orogen-basin-r5f8v0-1fkmk4o            1.0000
orogen-basin-r4ydcz-3vjppk             1.0000
orogen-basin-r46x8w-1c0iplp            1.0000
orogen-basin-r4rqnn-1n0c4uo            1.0000
orogen-basin-r5nh4g-nxbw1h             1.0000
orogen-basin-r2s256-1c1d384            1.0000
orogen-basin-r9yyc-15tswf6             1.0000
orogen-basin-r4ymj8-yd5ivm             1.0000
